mint,disc_6h,disc_24h,surv_24h,disc_accel,regime_scans_24h,pre_bars,pre_res_s,r_5m,r_15m,r_30m,r_60m,range_30m,vol_accel,above_first
4eKYoR1hBHnRaYyg2d57H36uUatRNyZr1NRP9ScNpump,120,600,51,0.25,10,30,3600,nan,nan,nan,0.9995048227108936,0.6569598801700518,0.8979512943285823,9.318250006362465
AyafwyhUhZW4L9bdeG2nBjTpQkt5ek1aA1A78XGopump,120,600,51,0.25,10,,,,,,,,,
VXjDEv3EeJgg5J88uNasoMwaryCtdfKw5YNkAoJBpwU,120,600,54,0.25,10,,,,,,,,,
4K5wiLjC5MmZv2pNmewQdZjds4yiBNTn8zUMi5cQpump,120,600,54,0.25,10,,,,,,,,,
DkmmVCUaBAcYjecqMdX7NdNQFCfb6uh1yQq9HEP8pump,120,600,54,0.25,10,,,,,,,,,
saTZ9ADxuPYGxCgJMqnRsanza3nT3GnkpKENicKpump,120,600,54,0.25,10,,,,,,,,,
22oesKQuMBmxUTWfeFDjNnYS19VujFcBmi4EL8gWpump,120,600,57,0.25,10,5,3600,nan,nan,nan,-0.3364268387338606,1.6979654745560373,1.2775761987216876,6.313235828265097
95bAE5K5SeqpQ4veagLGRi5qfK83rtCeK9SxjBvNpump,120,600,57,0.25,10,,,,,,,,,
DeqsPTYwvsNjkf5G8zDxziUnFPp55nQZA4vrNM2apump,120,600,57,0.25,10,120,3600,nan,nan,nan,0.06363155244418195,0.20860252887021535,6.138090874744946,2.793471319160316
BrXJz1NyZbeCALn4aWS7ckZqMyQBwENDGVmaRt4ypump,120,600,57,0.25,10,,,,,,,,,
A26MrRACGRBERBrhdA6eVEkUR96YswsKGDtxjRp6pump,180,660,64,0.375,11,,,,,,,,,
DMGvqNkhS3BtNDRypN6tEY6jpkatHJj4WQZtPmFzpump,180,600,55,0.42857142857142855,10,,,,,,,,,
9kFcxV4s75ctSAjX6NLfcmPx1vuJom22RVrSGSitpump,240,600,54,0.6666666666666666,10,,,,,,,,,
5RyeWfbjVw6Ktj6j8SmTiAnVXWvmV8YxGtTebNsU2dBo,240,600,54,0.6666666666666666,10,,,,,,,,,
Hk8qqvyYU5gfAB5QCZCcJq3gR3TZ8LtvNmA1EM3bpump,240,660,62,0.5714285714285714,11,,,,,,,,,
8N1xPzwZtuRQSdRMnbjAjdd2tK9V8nF7Wrw8gGeLpump,240,660,62,0.5714285714285714,11,,,,,,,,,
JCKJviubAbCSztaGnKGqaiKhmpsE9uDTxcENXZrLpump,240,660,64,0.5714285714285714,11,7,3600,nan,nan,nan,-0.005605426200443464,0.5192505995555253,0.5993659626900188,4.042473617533271
3nVp4yxq8NHGKfYD8q1u4sZDYP95mbGeBvq1n8CCpump,240,660,64,0.5714285714285714,11,,,,,,,,,
5MeesVjRfJ3nnkESNFjT6y4RyzvN7NX5Qf3mihSUpump,300,660,70,0.8333333333333334,11,,,,,,,,,
7AJ9sdZW6Sodb8ajnEkESeWtQVVHyZ4Gg85H3c1Ypump,300,660,70,0.8333333333333334,11,,,,,,,,,
7e8NVxuu2j4TyuAXN26mMj6KP1wGgVp7G7n3zy53pump,240,660,70,0.5714285714285714,11,,,,,,,,,
7aD86TAvoXPBAkt7HxGsz3MG8UBdDUvcVeBLouVcpump,240,660,70,0.5714285714285714,11,,,,,,,,,
ECHFvPRtUDDTg53V5k45pLk6E5zCunk5RYXrL1qopump,237,717,72,0.49375,12,,,,,,,,,
7pncD23yVtmVRRa4fLFsi3pGotbUxrFvR13wTGNCpump,237,717,72,0.49375,12,,,,,,,,,
FY9yQSFokAyuKm33HBAUCYjvjmEbeXfDTpSiVZNUpump,237,717,72,0.49375,12,20,3600,nan,nan,nan,0.6030264090915074,0.5869369432973901,5.35976086884736,5.446571368978998
5npesGsnVhcQbh6oVcsLtn5UKqdgYeipgDKsGaappump,237,717,72,0.49375,12,,,,,,,,,
JCtKcjQY7hCjUA4gkFs238mVMZka1niBDYbbkMjpump,237,717,72,0.49375,12,,,,,,,,,
CS2T1HQRPCXaYR5V3SNDb5ceERwZg1Nb5uuw6Dg5hpsn,237,777,80,0.4388888888888889,13,5,3600,nan,nan,nan,0.14583251984140655,0.142418998148683,0.4625262787078158,2.1153019606760095
9GqRUutMFyx8Q7kQsaoES5TLQkv7kKNUh5f15aDwpump,237,777,80,0.4388888888888889,13,,,,,,,,,
9aphy3k9HgPReHBCzBajqQmWSjT8yQrXrm3FzVhrpump,236,776,80,0.43703703703703706,13,,,,,,,,,
2RxbXoPz3bKgUhU42fyb2juxzqxxJ8r6ewqHQ1WyRz37,236,776,80,0.43703703703703706,13,,,,,,,,,
ErM8VTSUfpvToPuRNf5mEJAvLc7oh7KqGLqrzj8bpump,299,776,79,0.6268343815513627,13,,,,,,,,,
D5MS4fPQ3GsmLDXy5732ZaHQJrZ49hdALTyEtXh3mgGw,299,776,79,0.6268343815513627,13,,,,,,,,,
FsTkJ88ZLdWpmBLhCNK8v5znnncUBDMsZCGxmxu6pump,299,776,79,0.6268343815513627,13,,,,,,,,,
DrCjaUaVCGSfFEu8i4Gje1CwogUF7nwKFV9Bov5Dpump,291,768,71,0.610062893081761,13,10,3600,nan,nan,nan,0.42471764014935465,0.9171594611331703,3.1916068034895546,2.084840465798763
AAsY4U8LZPtJvCbxnXQquhsmEzjidgAw27tFNkHjpump,291,768,71,0.610062893081761,13,,,,,,,,,
2Rh23w2hSrqjBUV7A5oyrPtBDnX8MniUmGi7FZw2pump,291,768,71,0.610062893081761,13,,,,,,,,,
9YBcdwtDor6B4acqFLFX47PPkg6k729ZMDHRh3zEpump,163,759,66,0.27348993288590606,13,5,3600,nan,nan,nan,-0.09846572094874972,0.25922570845114157,0.8533859170112232,2.1029238559392813
HHmh4bSYBXsPQiSQ6mdRqWLvSowPY5s4rNCaL8mspump,111,699,64,0.18877551020408162,12,,,,,,,,,
G6cHLEwYHyZJXBhKpSWMU6RUtcq9HM9UTn2cTEdKpump,111,699,64,0.18877551020408162,12,5,3600,nan,nan,nan,0.324023800024305,0.8798322654041466,1.0904657915142384,10.762765923054305
31mMFCFe3V5tx319s5kNfnPrYCzc8SuxPofGcyfepump,111,699,64,0.18877551020408162,12,,,,,,,,,
77x1fCskDLaiZmm2uZKEhARSCD2B86VaahTkK2Vfpump,111,699,64,0.18877551020408162,12,28,3600,nan,nan,nan,0.021472304033568923,0.09520804845902635,0.2577687062380003,17.40863616871882
NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,111,699,64,0.18877551020408162,12,120,3600,nan,nan,nan,-0.00012147964659625643,0.037352731802238755,1.2331802109272396,-0.34494898553666653
4TyZGqRLG3VcHTGMcLBoPUmqYitMVojXinAmkL8xpump,111,699,64,0.18877551020408162,12,120,3600,nan,nan,nan,0.02246191153497379,0.0398748483347423,1.7407003978135012,-0.4394571872146277
8SJ9UmV7vH7b2h9ZUf24hZJyCJLyqK4rw8cPyS8xpump,112,691,68,0.19343696027633853,12,,,,,,,,,
ArEvdUzDBrxd6WZZZyV7zMemwij65M6JfAFF9PuPpump,112,691,68,0.19343696027633853,12,,,,,,,,,
9QNz5x4wmUWgpaF2zx7UtLvzvgyDzzVznpdJ85cNayZC,166,628,60,0.3593073593073593,11,,,,,,,,,
G2L8j6Vr2xziHCh9dhhV9J72SMpirtNYZXGV1s68pump,166,628,60,0.3593073593073593,11,,,,,,,,,
AiqxyM1VCBkNqsW6MigJb8CaSUj7TjQPv9sUZWTkpump,161,623,57,0.3484848484848485,11,,,,,,,,,
9zvFpDR7u3NFnCZUkZzxJNuFSF2gnHC4xJ1bMdZ5pump,161,623,57,0.3484848484848485,11,,,,,,,,,
DxFBL4ugvbnkb1uQZsNCZcmo3LKH1ymm7tsPDpLbBKjE,161,623,57,0.3484848484848485,11,120,3600,nan,nan,nan,-0.012656656565052327,0.038968380822702875,0.43345783339185356,0.47222413431712207
2aQKC1xiKpEyAWvzSDrULnYLVuybWyx7qrsnpP8hpump,161,623,57,0.3484848484848485,11,120,3600,nan,nan,nan,-0.08553506423246737,0.4781463191717605,0.8448832343315034,-0.14889782569324417
