scan_ts,discovered,enriched,n_survivors,n_a
1785436897.1655116,57,47,3,0
1785442025.0528677,57,47,6,0
1785446440.549284,60,50,4,0
1785450679.3527894,60,50,2,0
1785454544.463757,60,52,3,0
1785460190.5158257,60,51,3,0
1785473214.997824,60,55,8,0
1785483533.8316877,60,58,5,0
1785493273.7854612,60,53,6,0
1785500583.7406,60,50,4,1
1785510261.0710642,60,52,8,1
1785516776.1701615,60,51,3,1
1785523204.1762574,60,54,6,0
1785528710.493921,60,51,5,1
1785533507.1351273,60,50,2,0
1785537446.5508342,60,56,4,0
1785541589.7038827,57,50,5,0
1785547150.079787,57,52,1,0
1785559347.8050914,60,53,2,0
1785568660.8512707,60,53,2,0
1785576392.7483478,60,58,4,0
1785582202.9760466,60,56,2,0
1785586119.9534469,60,51,2,0
1785592839.315881,60,56,4,0
1785597055.66506,60,54,4,0
1785600986.6956468,60,52,5,0
1785605174.9944332,60,50,5,0
1785609207.5864642,60,50,7,0
1785613686.9928396,60,51,7,0
1785616560.3703675,60,52,5,0
1785619913.809413,60,51,4,0
1785623488.849844,60,52,6,0
1785627149.8939555,60,51,5,0
1785633004.5432024,60,56,5,0
1785645807.3983417,60,51,5,0
1785655430.493973,60,53,6,0
1785663353.625946,56,51,8,0
1785668705.741086,60,53,7,0
1785672693.0452864,60,55,7,0
1785679340.0628517,60,54,9,0
1785683537.9118211,60,52,6,0
1785687395.4450152,60,56,7,0
1785691643.1763635,60,51,3,0
1785695703.904562,60,52,2,0
1785700124.6885679,60,51,4,0
1785703107.5243244,60,55,6,0
1785706779.801389,60,50,4,0
1785710471.3192177,60,51,6,0
1785714277.9603243,60,55,4,0
1785719892.6639977,60,53,4,0
1785732718.7291963,60,55,4,1
1785745066.4006104,60,54,4,1
1785757757.9346554,60,50,4,1
1785765970.1764677,60,51,5,1
1785775059.2619245,60,51,6,0
1785781751.9490104,60,55,10,0
1785788148.9043844,60,52,8,0
1785792807.6765509,60,59,4,0
1785796593.182604,60,55,7,0
1785800613.621365,60,51,6,0
1785805792.3801482,60,53,5,0
1785818010.2921526,60,51,8,0
1785827961.317112,60,53,7,0
1785837843.6774518,60,54,8,0
1785845490.413112,60,50,5,0
1785854644.2241356,60,55,2,0
1785861777.181217,60,51,4,0
1785867573.585667,60,52,5,0
1785873776.9031892,60,50,3,0
1785878541.5478354,59,50,7,0
1785883155.0933354,60,52,3,0
1785887213.1718137,60,52,4,0
1785892159.4331768,60,51,4,0
1785904300.1999161,60,51,4,1
1785914359.158583,60,50,5,1
1785924094.1010437,60,53,4,1
1785931644.4529283,60,56,4,1
1785940713.0179029,60,50,3,0
1785946988.9654593,60,51,7,0
1785953267.6341176,60,52,10,0
1785959948.5021126,60,51,5,0
1785964871.8873696,60,50,4,0
1785969132.1197774,60,52,3,0
1785972714.0772817,60,50,4,0
1785977844.8706326,60,51,3,0
1785990163.6540852,60,54,2,0
1786000870.3795407,60,51,4,1
1786010637.8825128,60,50,4,1
1786018333.1279159,60,53,7,1
1786027158.1253083,59,49,5,1
1786061936.842252,59,49,5,0
1786072852.6549878,59,52,5,0
1786079312.483242,60,55,7,0
