mint,scan_ts,sha,symbol,tier,dex,gmgn_ok,n_hc_misses,price_usd,liq_usd,mcap,fdv,vol_h1,vol_h6,vol_h24,buys_h1,sells_h1,price_chg_h1,pair_age_min,score,total_holders,top10_pct,insider_networks_pct,graph_insiders,creator_prior_tokens,rugcheck_score,gmgn_bundler_wallets,gmgn_sniper_wallets,gmgn_smart_wallets
8N1xPzwZtuRQSdRMnbjAjdd2tK9V8nF7Wrw8gGeLpump,1783463609.1887023,f50c0aca2d5b3abd9610f43ef4cd4d5ef1d42dfe,WSB,B,pumpswap,True,4,0.00034,48358.17,340042.0,340042.0,192473.9,2042444.18,2042444.18,1091,1004,1.75,198.71981170654297,50.4,52,27.7,0.0,0,0,1.0,103,6,2
Hk8qqvyYU5gfAB5QCZCcJq3gR3TZ8LtvNmA1EM3bpump,1783463609.1887023,f50c0aca2d5b3abd9610f43ef4cd4d5ef1d42dfe,BabyCupsey,B,pumpswap,True,7,0.0001292,27951.54,129217.0,129217.0,287658.79,373395.05,373395.05,3311,2228,185.0,85.7031450398763,53.5,13,24.9,1.2,4,0,1.0,176,30,3
3nVp4yxq8NHGKfYD8q1u4sZDYP95mbGeBvq1n8CCpump,1783467142.8631387,639edfe9ecb82cab071d3de25a980ac42d157ee8,WIGGTABLE,B,pumpswap,True,7,7.184e-05,21500.27,71849.0,71849.0,701755.02,701755.02,701755.02,3528,2731,113.0,50.047718977864584,65.6,463,9.3,0.0,0,0,36.0,165,35,3
JCKJviubAbCSztaGnKGqaiKhmpsE9uDTxcENXZrLpump,1783467142.8631387,639edfe9ecb82cab071d3de25a980ac42d157ee8,StareCat,B,pumpswap,True,2,0.0001739,32672.36,173901.0,173901.0,31268.39,452601.43,482878.62,4102,211,-11.43,375.8977189778646,83.8,2225,31.9,0.0,0,0,1.0,204,13,4
5MeesVjRfJ3nnkESNFjT6y4RyzvN7NX5Qf3mihSUpump,1783472729.4989338,1ffc7d4d3aa738b0cf8937641e0dafc4bc6324cb,Cupsem,B,pumpswap,True,2,0.0002245,38608.53,224558.0,224558.0,667246.22,1270418.36,1270418.36,7270,4576,59.51,95.5749822306315,82.5,2520,5.5,0.0,0,0,1.0,161,3,0
7AJ9sdZW6Sodb8ajnEkESeWtQVVHyZ4Gg85H3c1Ypump,1783472729.4989338,1ffc7d4d3aa738b0cf8937641e0dafc4bc6324cb,Rizzler,B,pumpswap,True,6,0.0001413,29566.63,141367.0,141367.0,149045.01,754541.72,754541.72,22705,14756,-29.89,137.30831556396484,73.8,1244,27.8,9.6,14,0,1.0,480,14,6
7aD86TAvoXPBAkt7HxGsz3MG8UBdDUvcVeBLouVcpump,1783484855.774943,af6425a53f13ac8a3d481a4cdde82de593332bb9,BULLSEY,B,pumpswap,True,1,0.002438,123678.51,2438987.0,2438987.0,309500.01,2475650.68,2475650.68,5432,1196,-8.65,271.84624905192055,72.2,8632,2.0,0.0,0,0,1.0,47,2,0
7e8NVxuu2j4TyuAXN26mMj6KP1wGgVp7G7n3zy53pump,1783484855.774943,af6425a53f13ac8a3d481a4cdde82de593332bb9,AWC,B,pumpswap,True,2,0.000222,37115.0,222046.0,222046.0,299310.04,772899.69,772899.69,8359,4400,82.82,102.92958238525391,85.3,2332,2.4,0.0,0,0,1.0,107,13,0
5npesGsnVhcQbh6oVcsLtn5UKqdgYeipgDKsGaappump,1783525070.9213862,46390b9e317e18b7b28b2f9edc11feec2218932a,BULLWIF,B,pumpswap,True,5,9.953e-05,36374.22,99288.0,99288.0,2153.76,14654.37,28089.74,24,15,6.3,13800.465356437175,29.4,12754,38.8,5.9,9,0,1.0,347,9,17
7pncD23yVtmVRRa4fLFsi3pGotbUxrFvR13wTGNCpump,1783525070.9213862,46390b9e317e18b7b28b2f9edc11feec2218932a,GM🐂🀄️,B,pumpswap,True,1,0.0001763,32447.6,176384.0,176384.0,152096.54,878080.08,878080.08,2984,1921,-3.81,168.03202310384114,83.6,7312,2.0,0.0,0,0,1.0,156,5,0
ECHFvPRtUDDTg53V5k45pLk6E5zCunk5RYXrL1qopump,1783525070.9213862,46390b9e317e18b7b28b2f9edc11feec2218932a,okdog,B,pumpswap,True,1,0.0001451,29120.36,145154.0,145154.0,147345.69,624201.78,624201.78,4351,646,-36.29,160.69868977050783,92.5,2970,6.1,0.0,0,0,1.0,23,5,0
FY9yQSFokAyuKm33HBAUCYjvjmEbeXfDTpSiVZNUpump,1783525070.9213862,46390b9e317e18b7b28b2f9edc11feec2218932a,Binface ,B,pumpswap,True,4,0.0002249,35994.05,224921.0,224921.0,18146.11,71455.95,413143.38,168,120,64.51,1154.0486897705077,43.1,399,28.9,0.0,0,0,1.0,160,25,3
JCtKcjQY7hCjUA4gkFs238mVMZka1niBDYbbkMjpump,1783525070.9213862,46390b9e317e18b7b28b2f9edc11feec2218932a,ANSEMPAY,B,pumpswap,True,8,5.05e-05,16603.22,50506.0,50506.0,54620.38,54620.38,54620.38,926,666,60.46,14.582023103841145,27.9,186,22.7,0.0,0,0,1.0,93,31,1
9GqRUutMFyx8Q7kQsaoES5TLQkv7kKNUh5f15aDwpump,1783530800.9131336,38a0eab7992462fde3505fcfd08789ef7fe43e68,GME,B,pumpswap,True,8,3.14e-05,13061.4,31226.0,31226.0,27555.69,27555.69,27555.69,417,273,-1.45,7.215218892415365,20.0,83,31.0,0.0,0,0,29.0,124,28,3
CS2T1HQRPCXaYR5V3SNDb5ceERwZg1Nb5uuw6Dg5hpsn,1783530800.9131336,38a0eab7992462fde3505fcfd08789ef7fe43e68,$TWM$,B,raydium,True,5,8.607e-05,35651.5,86070.0,86070.0,3173.05,34948.05,34948.05,256,232,20.98,193.73188555908203,23.0,114,32.2,0.0,0,0,16.0,42,0,2
